0	0	0	1	1	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	1	2	2	2	1	0	0	0	0	0	0	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	3	3	3	3	3	2	3	3	3	3	3	3	3	2	1	2	2	2	
0	0	0	2	2	3	3	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	1	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	1	2	2	2	1	0	0	0	0	0	0	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	4	4	4	4	4	3	4	4	4	4	4	4	4	3	2	3	3	3	
0	0	0	3	3	4	4	5	5	5	5	5	5	5	4	4	4	3	3	3	3	3	3	1	0	0	0	0	0	0	0	0	0	1	2	2	2	2	1	0	1	2	2	2	1	0	0	0	0	0	0	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	8	11	13	13	13	11	9	7	6	5	4	5	5	5	5	5	6	6	6	5	5	4	4	
1	1	1	9	10	12	13	16	16	17	18	19	18	18	17	17	17	16	16	16	15	14	13	9	7	6	5	4	4	4	4	4	4	5	6	7	9	9	8	8	10	11	10	10	8	7	6	5	4	5	6	12	15	16	17	18	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	20	20	19	20	19	19	18	18	18	16	18	18	18	18	18	17	16	13	10	9	7	4	
2	3	6	15	14	15	16	17	17	17	17	17	16	15	14	14	14	13	13	13	12	11	11	8	5	4	3	2	1	1	1	2	3	4	5	7	9	10	10	9	11	11	10	9	8	5	4	4	4	4	5	13	15	15	16	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	18	18	18	18	17	17	17	17	18	17	18	17	17	17	16	16	17	16	13	14	13	10	
3	4	7	17	14	16	17	17	19	19	19	19	18	16	15	15	16	15	14	13	12	11	10	6	4	3	2	1	1	1	1	1	1	1	1	2	3	3	2	1	2	3	3	3	2	1	2	3	4	5	6	15	16	17	18	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	20	20	20	20	19	19	19	19	19	18	19	19	19	19	19	19	19	18	16	16	14	11	
3	4	5	18	15	17	18	18	20	20	20	20	18	15	13	12	11	8	7	6	5	4	4	2	1	1	1	1	1	1	1	1	1	1	1	2	3	3	2	1	2	3	3	3	2	1	2	3	4	5	6	16	17	18	19	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	21	21	21	21	20	20	20	20	20	19	20	20	20	20	20	20	20	18	16	16	14	11	
3	4	5	19	16	18	19	19	21	20	19	19	17	12	9	9	8	6	4	4	4	4	4	2	1	1	1	1	1	1	1	1	1	1	1	2	3	3	2	1	2	3	3	3	2	1	2	3	4	5	6	17	18	19	20	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	20	21	21	21	21	21	21	21	19	17	16	15	11	
3	4	6	19	17	19	21	19	20	18	17	17	14	8	6	7	6	5	3	3	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	2	2	2	2	1	2	3	4	5	6	18	18	19	20	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	20	19	17	15	14	9	
3	4	7	18	16	18	20	18	20	18	17	17	16	8	6	8	7	5	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	6	17	18	19	20	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	20	18	16	15	12	
