2	8	9	10	11	12	12	9	7	6	5	4	4	4	4	4	4	4	4	4	4	4	4	4	5	8	9	10	11	13	14	14	11	10	10	9	8	9	9	12	13	14	15	16	14	14	14	14	14	12	12	11	10	9	8	9	12	13	14	15	16	16	16	16	16	13	15	15	15	15	16	16	16	16	16	16	16	16	13	12	11	10	9	9	9	9	5	4	2	2	3	3	3	4	4	4	7	6	1	0	
5	9	10	11	12	13	13	11	8	7	6	5	2	2	3	4	4	4	4	3	2	2	4	5	8	10	9	10	13	14	14	15	14	14	15	15	15	17	17	18	17	17	17	17	17	17	17	17	18	17	17	17	17	17	17	17	18	17	17	17	17	17	17	17	18	17	18	17	17	17	17	17	17	17	17	17	17	18	17	17	17	17	17	16	16	16	10	8	7	5	4	4	5	5	5	5	8	8	3	2	
4	6	4	4	4	5	5	4	2	2	2	1	1	1	1	2	2	2	2	2	1	1	2	2	3	4	3	4	6	9	11	12	12	13	14	14	14	17	17	18	18	18	18	18	18	18	18	18	18	17	17	17	17	17	16	17	18	18	18	18	18	18	18	18	18	16	17	17	17	18	18	18	18	18	18	18	18	18	17	17	17	17	17	15	15	16	12	9	8	5	4	4	4	4	6	7	10	11	6	4	
4	4	3	3	4	5	5	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	4	5	7	10	11	11	12	14	14	14	18	18	19	19	18	18	19	19	19	19	19	19	17	17	18	18	18	18	18	19	19	19	19	18	19	19	19	19	16	17	17	17	19	19	19	19	19	19	19	19	19	18	18	18	18	18	14	13	16	10	8	7	3	2	4	4	5	7	7	10	11	7	5	
4	5	4	3	5	6	6	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	3	4	6	7	7	8	11	12	13	18	19	20	20	19	19	20	21	21	21	21	21	18	18	19	19	19	19	20	21	21	20	20	19	20	20	20	20	17	18	18	18	21	21	21	21	21	21	21	21	21	20	20	20	20	18	14	13	16	10	8	7	2	1	4	6	7	8	8	10	12	8	6	
5	7	5	3	6	7	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	4	4	5	6	8	9	10	16	17	18	19	19	19	20	22	22	22	22	22	19	19	20	20	20	20	22	22	22	20	20	19	20	20	20	20	18	18	18	18	21	21	21	21	21	21	21	21	21	22	22	22	21	18	14	14	17	11	9	8	2	2	5	7	9	9	9	8	12	10	7	
9	9	8	4	8	8	7	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	4	5	7	8	9	15	16	17	18	18	18	19	21	21	21	21	21	18	18	19	19	19	19	22	22	22	19	19	18	19	19	19	19	17	17	17	17	20	20	20	20	20	20	20	20	20	21	20	20	20	17	13	14	18	14	13	14	8	10	12	14	14	15	16	12	16	14	12	
12	13	13	9	14	14	13	12	5	4	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	4	6	7	8	14	15	16	17	17	17	18	20	20	20	20	20	17	17	18	18	18	18	21	21	21	18	18	16	16	15	14	14	11	11	11	11	15	16	17	18	19	19	19	19	19	21	20	20	20	16	12	14	18	15	15	16	9	12	15	16	16	17	18	11	16	14	12	
13	14	14	10	15	15	14	13	6	4	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	5	6	6	11	12	13	14	13	13	15	16	15	16	17	17	13	13	15	15	15	16	19	19	19	16	16	13	14	13	12	12	10	10	10	10	14	15	16	17	18	18	18	18	18	20	19	19	19	15	11	14	18	16	16	17	9	13	16	17	17	18	19	10	16	14	12	
14	15	15	11	16	16	15	14	7	4	3	4	3	3	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	6	7	7	8	10	13	13	13	13	13	8	8	9	9	8	8	12	12	12	8	8	6	6	5	5	6	5	6	7	8	13	14	15	16	17	17	17	17	16	18	17	17	17	12	9	13	17	16	17	18	9	14	17	18	18	19	19	11	16	14	12	
16	16	17	14	18	18	17	16	8	4	3	5	4	4	1	1	1	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	5	6	6	7	9	12	12	12	12	12	7	7	8	8	7	7	11	11	11	7	7	5	5	4	4	4	2	2	2	2	5	5	5	5	6	7	8	9	9	13	14	15	16	12	9	15	19	19	20	21	10	17	19	20	20	21	20	12	16	14	12	
