0	0	1	2	3	4	4	4	4	4	4	4	4	4	4	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	3	3	3	4	4	4	4	4	4	4	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
0	1	2	3	4	5	5	5	5	5	5	5	5	5	7	10	11	13	13	11	10	7	6	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	4	4	4	5	5	5	5	5	5	6	10	11	12	13	14	13	10	8	7	6	8	9	9	9	8	7	7	7	7	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	9	9	9	5	5	6	5	
9	11	13	15	17	18	18	18	18	18	18	18	18	18	18	19	19	19	19	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	17	17	15	17	18	18	17	18	18	18	18	17	16	13	13	13	15	15	16	17	19	19	19	20	20	20	19	19	19	18	18	18	18	18	18	18	18	18	18	17	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	17	16	14	12	
11	13	13	15	16	17	17	17	17	17	17	17	17	17	17	18	18	18	19	18	18	18	18	18	18	17	17	17	17	18	18	18	18	19	19	19	18	20	21	21	21	20	19	20	20	20	20	19	19	19	20	18	18	19	19	19	19	20	21	21	20	20	20	19	19	20	20	20	20	18	18	18	18	18	18	18	18	18	18	18	18	17	17	17	17	17	17	17	17	17	17	17	17	17	17	20	19	16	14	12	
13	13	14	16	17	18	18	18	18	18	18	18	18	18	18	19	19	19	20	19	19	19	19	19	19	18	18	18	18	19	19	19	19	19	19	19	18	19	19	19	19	20	20	20	19	19	19	18	18	18	19	19	19	19	19	19	19	20	20	20	20	20	20	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	18	18	18	18	18	18	18	18	18	18	18	18	18	18	19	19	18	15	12	
15	15	16	18	19	20	20	20	20	20	20	20	20	20	20	21	21	21	21	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	21	21	20	21	21	20	20	21	21	21	21	21	21	20	20	20	21	21	21	21	21	21	20	21	22	22	22	22	22	21	21	21	21	21	21	21	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	19	17	15	12	
16	15	16	18	20	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	20	21	21	21	21	21	21	21	21	21	21	20	20	21	22	22	22	22	21	21	21	21	21	21	21	22	22	22	22	22	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	19	17	15	12	
16	15	16	18	20	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	22	22	22	22	22	21	21	21	21	21	21	21	22	22	22	22	22	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	19	17	15	12	
16	15	16	18	20	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	20	19	17	15	12	
16	15	16	18	20	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	20	19	17	15	12	
