4	4	6	7	7	7	4	4	4	4	4	4	4	4	4	4	7	7	7	7	10	11	12	13	14	14	14	14	14	14	14	14	14	14	14	14	14	15	16	16	16	15	15	15	15	15	15	15	15	14	14	16	16	16	16	16	16	16	16	16	15	14	13	12	
4	2	7	8	9	9	5	4	3	2	1	1	1	1	1	2	7	8	9	10	12	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	12	13	13	13	12	12	12	12	12	12	12	12	11	11	13	13	13	13	14	14	14	14	14	14	14	14	12	
5	3	8	8	8	9	5	4	3	2	1	1	1	1	2	3	8	8	9	10	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	13	14	14	14	13	13	13	13	13	13	13	13	12	12	14	14	14	14	16	16	16	16	16	16	16	14	12	
6	4	9	9	9	9	5	4	3	2	1	1	1	2	3	4	9	10	11	12	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	15	15	15	15	14	14	14	14	14	14	14	15	14	14	16	15	15	15	18	18	18	18	18	18	16	14	12	
4	1	4	5	4	4	1	1	1	1	1	1	1	1	1	1	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	6	7	8	9	12	14	14	16	16	16	16	16	15	14	14	14	12	12	15	14	14	15	20	20	20	20	20	18	16	14	12	
4	1	5	6	4	4	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	6	7	7	8	10	10	10	8	8	7	6	5	6	7	8	8	9	13	14	15	16	22	21	21	21	20	18	16	14	12	
4	2	5	6	4	3	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	5	5	5	4	4	4	4	4	4	4	4	3	4	7	8	9	10	18	18	19	20	20	18	16	14	12	
7	7	9	10	7	5	3	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4	4	4	3	3	3	3	3	3	3	3	2	3	6	7	8	9	18	18	19	20	20	18	16	14	12	
7	8	8	10	7	4	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	2	2	2	2	2	2	2	2	1	2	5	6	7	8	18	18	19	20	20	18	16	14	12	
7	9	9	11	8	4	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2	4	5	6	7	18	18	19	20	20	18	16	14	12	
8	11	11	13	11	5	4	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	6	18	18	19	20	20	18	16	14	12	
11	13	13	14	13	5	4	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	6	18	18	19	20	20	18	16	14	12	
12	12	13	14	14	5	4	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	6	18	18	19	20	20	18	16	14	12	
13	12	13	14	15	5	4	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	6	18	18	19	20	20	18	16	14	12	
