7	8	11	12	12	12	12	12	13	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	11	12	12	12	12	12	12	12	12	12	12	12	13	13	13	13	13	12	12	12	12	12	12	13	13	13	13	13	13	13	13	13	13	13	13	13	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	13	13	13	13	12	12	13	12	11	13	12	
8	4	12	13	13	9	14	14	15	14	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	7	9	9	9	9	10	10	10	10	10	10	12	13	12	12	12	13	12	12	13	13	13	13	14	13	13	13	12	12	12	12	12	12	12	12	13	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	10	10	13	13	13	11	11	15	14	14	15	14	11	15	14	13	16	13	
11	12	16	10	8	7	7	6	7	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	4	4	4	4	4	5	6	9	10	11	11	11	8	7	6	5	5	6	9	10	11	12	13	13	13	13	13	13	13	12	11	8	7	6	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	6	9	10	10	10	9	9	11	11	11	16	14	
12	12	12	8	7	6	5	4	5	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	4	4	5	5	5	5	5	3	3	3	3	3	3	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	4	5	5	5	5	3	4	6	7	6	12	11	
13	13	12	8	7	6	5	4	5	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	4	4	5	5	5	4	4	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	4	5	5	5	5	3	5	7	6	5	13	12	
13	13	11	7	6	5	4	3	4	3	3	2	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	4	4	4	3	3	5	6	5	4	13	11	
12	10	8	5	4	3	2	2	3	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	2	3	3	3	2	2	4	5	4	4	12	11	
12	10	7	4	4	3	2	2	2	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	4	4	4	4	12	11	
12	10	6	4	4	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	4	4	4	4	12	11	
12	10	5	4	4	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	4	4	4	4	12	11	
